metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.composer.environment.api.request_count,API Requests,DELTA,INT64,1,cloud_composer_environment,"Number of Composer API requests seen so far. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.composer.environment.api.request_latencies,API Latency,DELTA,DISTRIBUTION,ms,cloud_composer_environment,"Distribution of Composer API call latencies. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.composer.environment.dag_processing.parse_error_count,Parse Error Count,DELTA,INT64,1,cloud_composer_environment,Number of errors raised during parsing DAG files. Sampled every 60 seconds.
gcp.composer.environment.dag_processing.processes,DAG parsing processes,GAUGE,INT64,1,cloud_composer_environment,Number of currently running DAG parsing processes. Sampled every 60 seconds.
gcp.composer.environment.dag_processing.processor_timeout_count,Processors Timeout Count,DELTA,INT64,1,cloud_composer_environment,Number of file processors terminated due to processing timeout. Sampled every 60 seconds.
gcp.composer.environment.dag_processing.total_parse_time,Total Parse Time,GAUGE,DOUBLE,s,cloud_composer_environment,Number of seconds taken to scan and import all DAG files once. Sampled every 60 seconds.
gcp.composer.environment.dagbag_size,Dag Bag Size,GAUGE,INT64,1,cloud_composer_environment,The current dag bag size. Sampled every 60 seconds.
gcp.composer.environment.database.cpu.reserved_cores,Database CPU reserved cores,GAUGE,DOUBLE,1,cloud_composer_environment,Number of cores reserved for the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.cpu.usage_time,Database CPU usage time,DELTA,DOUBLE,s,cloud_composer_environment,CPU usage time of the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.cpu.utilization,Database CPU utilization,GAUGE,DOUBLE,1,cloud_composer_environment,CPU utilization ratio (from 0.0 to 1.0) of the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.disk.bytes_used,Database disk usage,GAUGE,INT64,By,cloud_composer_environment,Used disk space in bytes on the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.disk.quota,Database disk quota,GAUGE,INT64,By,cloud_composer_environment,Maximum data disk size in bytes of the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.disk.utilization,Database disk utilization,GAUGE,DOUBLE,1,cloud_composer_environment,Disk quota usage ratio (from 0.0 to 1.0) of the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.memory.bytes_used,Database memory usage,GAUGE,INT64,By,cloud_composer_environment,Memory usage of the database instance in bytes. Sampled every 60 seconds.
gcp.composer.environment.database.memory.quota,Database memory quota,GAUGE,INT64,By,cloud_composer_environment,Maximum RAM size in bytes of the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.memory.utilization,Database memory utilization,GAUGE,DOUBLE,1,cloud_composer_environment,Memory utilization ratio (from 0.0 to 1.0) of the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.network.received_bytes_count,Database received bytes,DELTA,INT64,By,cloud_composer_environment,Number of bytes received by the database instance. Sampled every 60 seconds.
gcp.composer.environment.database.network.sent_bytes_count,Database sent bytes,DELTA,INT64,By,cloud_composer_environment,Number of bytes sent by the database instance. Sampled every 60 seconds.
gcp.composer.environment.database_health,Database Healthy,GAUGE,BOOL,(blank),cloud_composer_environment,Healthiness of Composer airflow database. Sampled every 60 seconds.
gcp.composer.environment.executor.open_slots,Executor Open Slots,GAUGE,INT64,1,cloud_composer_environment,Number of open slots on executor. Sampled every 60 seconds.
gcp.composer.environment.executor.running_tasks,Executor Running Tasks,GAUGE,INT64,1,cloud_composer_environment,Number of running tasks on executor. Sampled every 60 seconds.
gcp.composer.environment.finished_task_instance_count,Task Instance Count,DELTA,INT64,1,cloud_composer_environment,Overall task instances. Sampled every 60 seconds.
gcp.composer.environment.healthy,Healthy,GAUGE,BOOL,(blank),cloud_composer_environment,Healthiness of Composer environment. Sampled every 300 seconds.
gcp.composer.environment.num_celery_workers,Celery Workers,GAUGE,INT64,1,cloud_composer_environment,Number of Celery workers. Sampled every 60 seconds.
gcp.composer.environment.scheduler_heartbeat_count,Scheduler Heartbeats,DELTA,INT64,1,cloud_composer_environment,Scheduler heartbeats. Sampled every 60 seconds.
gcp.composer.environment.task_queue_length,Task Queue Length,GAUGE,INT64,1,cloud_composer_environment,Number of tasks in queue. Sampled every 60 seconds.
gcp.composer.environment.web_server.cpu.reserved_cores,Web server CPU reserved cores,GAUGE,DOUBLE,1,cloud_composer_environment,Number of cores reserved for the web server instance. Sampled every 60 seconds.
gcp.composer.environment.web_server.cpu.usage_time,Web server CPU usage time,DELTA,DOUBLE,s,cloud_composer_environment,CPU usage time of the web server instance. Sampled every 60 seconds.
gcp.composer.environment.web_server.memory.bytes_used,Web server memory usage,GAUGE,INT64,By,cloud_composer_environment,Memory usage of the web server instance in bytes. Sampled every 60 seconds.
gcp.composer.environment.web_server.memory.quota,Web server memory quota,GAUGE,INT64,By,cloud_composer_environment,Maximum RAM size in bytes of the web server instance. Sampled every 60 seconds.
gcp.composer.environment.worker.pod_eviction_count,Worker Pod Eviction Count,DELTA,INT64,1,cloud_composer_environment,The number of Airflow worker pods evictions. Sampled every 60 seconds.
gcp.composer.environment.worker.scale_factor_target,Workers scale factor target,GAUGE,DOUBLE,1,cloud_composer_environment,Scale factor for Airflow workers count. Sampled every 60 seconds.
gcp.composer.environment.zombie_task_killed_count,Zombie Tasks Killed,DELTA,INT64,1,cloud_composer_environment,Number of zombie tasks killed. Sampled every 60 seconds.
gcp.composer.workflow.run_count,Workflow Runs,DELTA,INT64,1,cloud_composer_workflow,Number of workflow runs completed so far. Sampled every 60 seconds.
gcp.composer.workflow.run_duration,Workflow Run Duration,GAUGE,DOUBLE,s,cloud_composer_workflow,Duration of workflow run completion. Sampled every 60 seconds.
gcp.composer.workflow.task.run_count,Tasks,DELTA,INT64,1,cloud_composer_workflow,Number of workflow tasks completed so far. Sampled every 60 seconds.
gcp.composer.workflow.task.run_duration,Task Duration,GAUGE,DOUBLE,s,cloud_composer_workflow,Duration of task completion. Sampled every 60 seconds.
